Index,Species,PFG
4,4,61
8,8,115
14,14,133
16,16,93
26,26,101
31,31,101
32,32,101
35,35,111
40,40,129
44,44,101
47,47,101
48,48,101
54,54,118
60,60,108
68,68,112
83,83,101
84,84,101
86,86,101
100,100,101
104,104,111
106,106,101
111,111,101
112,112,128
132,132,130
133,133,122
134,134,122
142,142,125
148,148,99
153,153,107
155,155,104
158,158,119
162,162,115
166,166,104
183,183,79
184,184,64
186,186,79
188,188,73
194,194,146
195,195,77
198,198,77
199,199,70
200,200,77
201,201,81
203,203,126
213,213,30
217,217,159
222,222,107
238,238,63
251,251,58
257,257,69
264,264,89
265,265,159
